condition,metric,mean,median,std,ci_95_low,ci_95_high,users
five_seed_baseline,ndcg_at_10,0.5282154251970487,0.5361311376913138,0.3151102803134562,0.5087312328801763,0.5474244166611353,1000
five_seed_baseline,recall_at_10,0.054602521200220966,0.03442350989453727,0.0626349638800918,0.05087753091048035,0.058394343755968595,1000
five_seed_baseline,precision_at_10,0.4962,0.5,0.3077340739343959,0.47649749999999996,0.5149025,1000
five_seed_baseline,hit_rate_at_10,0.929,1.0,0.2569533518462544,0.913,0.945,1000
fifteen_real_interaction_reference,ndcg_at_10,0.6054860430366119,0.6489315753318466,0.29177899162357473,0.5872947356736165,0.6235055008443592,1000
fifteen_real_interaction_reference,recall_at_10,0.06247711206443536,0.040710828159528575,0.06495341633323226,0.05846235056273001,0.06661161135166166,1000
fifteen_real_interaction_reference,precision_at_10,0.5785999999999999,0.6,0.28938864142496296,0.5608,0.597,1000
fifteen_real_interaction_reference,hit_rate_at_10,0.97,1.0,0.17067257872642908,0.959,0.98,1000
