condition,metric,mean,median,std,ci_95_low,ci_95_high,users
global_popularity_baseline,ndcg_at_10,0.1327030619010227,0.08514311764162101,0.16105322949489648,0.12258598734122939,0.14238429062518523,1000
global_popularity_baseline,recall_at_10,0.009728796219457714,0.00535483870967742,0.014911980201482086,0.008824504348782724,0.010707141607425056,1000
global_popularity_baseline,precision_at_10,0.1265,0.1,0.14835686623732572,0.11729750000000001,0.1358,1000
global_popularity_baseline,hit_rate_at_10,0.615,1.0,0.48683879468671354,0.584,0.645,1000
five_seed_baseline,ndcg_at_10,0.5282154251970487,0.5361311376913138,0.3151102803134562,0.509077627368241,0.5475471068952232,1000
five_seed_baseline,recall_at_10,0.054602521200220966,0.03442350989453727,0.0626349638800918,0.050726351445014584,0.05859708859336074,1000
five_seed_baseline,precision_at_10,0.4962,0.5,0.3077340739343959,0.4771,0.5156025,1000
five_seed_baseline,hit_rate_at_10,0.929,1.0,0.2569533518462544,0.913,0.944,1000
fifteen_real_interaction_reference,ndcg_at_10,0.6054860430366119,0.6489315753318466,0.29177899162357473,0.5873301657030432,0.6233110046031501,1000
fifteen_real_interaction_reference,recall_at_10,0.06247711206443536,0.040710828159528575,0.06495341633323226,0.05875743910163348,0.06663109423378519,1000
fifteen_real_interaction_reference,precision_at_10,0.5785999999999999,0.6,0.28938864142496296,0.5608,0.5964,1000
fifteen_real_interaction_reference,hit_rate_at_10,0.97,1.0,0.17067257872642908,0.959,0.98,1000
