seed_count,ndcg_at_10,precision_at_10,hit_rate_at_10
1,0.45190484284749094,0.4122,0.836
3,0.5176385872065647,0.48819999999999997,0.924
5,0.554566366484083,0.5303000000000001,0.95
8,0.5707621302301108,0.5482,0.961
10,0.5843476061602375,0.5610999999999999,0.965
12,0.5898486122631794,0.5665,0.966
15,0.6035965182565023,0.5789,0.97
20,0.5974811478471393,0.5715999999999999,0.968
